line_sign_name,line_number,company_name,region_id
4016-10,34957,express,4
8700-10,1877,transppass,8
3015-10,2454,viacao metropole,3
5702-10,33905,a2 transportes,6
5194-10,33037,mobibrasil,6
675N-10,362,gatusa,7
8013-41,34779,norte buss s.a.,1
1782-10,33411,sambaiba,2
1034-10,35220,norte buss s.a.,1
2728-10,943,allibus,4
746C-10,33551,alfa rodobus,8
1720-10,33631,norte buss s.a.,2
4017-10,34958,express,4
778R-10,33277,transppass,8
3737-31,1354,allibus,4
6052-31,34600,transwolff,6
971M-10,612,sambaiba,2
6116-10,1186,transwolff,6
6820-31,34174,campo belo,7
3026-10,962,transuniao,3
1703-10,33615,sambaiba,2
4734-10,1109,movebuss,5
4085-10,2156,upbus s.a.,3
5109-10,1851,via sudeste,5
1758-10,552,sambaiba,2
2014-10,900,spencer,2
3021-10,33044,via sudeste,5
8014-10,801,norte buss s.a.,1
4732-10,33070,via sudeste,5
7051-10,34653,transwolff,7
3024-10,33045,via sudeste,5
8026-10,34851,alfa rodobus,8
709G-10,34788,gatusa,7
4011-10,34952,express,4
6063-42,34770,transwolff,6
6036-10,33982,transwolff,7
175P-10,33443,sambaiba,2
N241-11,35098,norte buss s.a.,2
6034-10,32863,transwolff,6
9785-10,33596,norte buss s.a.,1
8055-51,417,santa brigida,1
3735-10,33803,pessego,4
9047-10,883,norte buss s.a.,1
5164-21,34384,mobibrasil,6
4027-10,33865,movebuss,5
574A-10,602,mobibrasil,6
273F-10,32927,viacao metropole,3
5011-10,1115,a2 transportes,6
2060-10,32902,viacao metropole,3
6044-10,1221,transwolff,7
6L08-10,33950,transwolff,6
6400-10,32825,campo belo,7
2590-10,912,transuniao,5
1018-10,832,norte buss s.a.,2
3020-10,958,pessego,4
6200-10,33123,gatusa,7
211V-10,154,viacao metropole,3
6015-10,33973,transwolff,7
1744-10,544,sambaiba,2
6451-10,32829,campo belo,7
4491-10,33095,via sudeste,5
6052-10,33912,transwolff,6
9784-10,827,spencer,1
809J-10,2066,transppass,8
4726-10,34448,movebuss,5
4491-10,327,via sudeste,5
745M-21,34752,transcap,8
2031-10,367,viacao metropole,3
8009-31,34028,santa brigida,1
546A-31,1132,a2 transportes,6
8542-21,1361,gato preto,1
745M-21,1984,transcap,8
8073-10,34849,transcap,8
6037-10,1215,transwolff,7
2770-10,243,viacao metropole,3
9002-10,870,norte buss s.a.,2
9717-10,817,norte buss s.a.,1
6110-10,1184,transwolff,6
5110-10,34977,via sudeste,5
5701-10,33904,a2 transportes,6
6047-10,1224,transwolff,7
748R-10,501,transppass,8
3139-10,995,ambiental transportes urbanos s.a.,4
352A-10,32932,viacao metropole,3
3027-10,963,pessego,4
502J-10,1275,mobibrasil,6
5021-10,1667,via sudeste,5
2762-10,144,viacao metropole,3
2203-10,33679,upbus s.a.,3
8548-10,578,santa brigida,1
909T-10,35024,gato preto,8
3032-10,33488,ambiental transportes urbanos s.a.,4
7053-22,34664,transwolff,7
3766-10,1055,pessego,4
8050-31,415,santa brigida,1
809D-10,34836,transppass,8
7016-10,2118,viacao metropole,7
172Y-10,33630,norte buss s.a.,2
4002-10,34945,viacao metropole,3
7059-10,1924,campo belo,7
3742-10,1042,pessego,4
177Y-10,33635,sambaiba,2
2028-10,35031,sambaiba,2
5106-21,34740,mobibrasil,6
8594-10,432,santa brigida,1
2726-10,33708,upbus s.a.,3
5111-10,32816,campo belo,7
414P-10,33873,movebuss,5
1720-21,34705,norte buss s.a.,2
172U-10,860,spencer,2
5013-31,2236,a2 transportes,6
8050-10,412,santa brigida,1
6091-10,33943,viacao grajau,6
2723-10,937,allibus,4
4092-10,1876,pessego,4
605A-10,2522,mobibrasil,6
4115-10,33090,via sudeste,5
4311-10,34939,viacao metropole,3
4721-10,337,via sudeste,5
3768-10,33824,transuniao,3
374M-10,34733,viacao metropole,3
128Y-10,33611,norte buss s.a.,2
809U-21,2307,gato preto,8
4036-10,2561,viacao metropole,3
8004-10,34022,santa brigida,1
5317-10,69,viacao grajau,6
5652-10,274,mobibrasil,6
8055-10,414,santa brigida,1
4001-10,2176,viacao metropole,3
2002-10,33479,ambiental transportes urbanos s.a.,4
9789-10,829,norte buss s.a.,1
8008-10,34026,santa brigida,1
7050-10,34652,kbpx,7
8686-10,33214,santa brigida,1
1206-10,842,spencer,2
8075-10,2044,transppass,8
5129-41,1974,mobibrasil,6
3069-10,984,allibus,4
2766-10,405,viacao metropole,3
2080-10,33139,viacao metropole,3
2722-31,33704,allibus,4
2008-10,33665,transuniao,3
675X-10,111,viacao grajau,6
519M-10,34979,via sudeste,5
