line_sign_name,line_number,company_name,region_id
8194-10,33573,NORTE BUSS TRANSPORTES S.A.,1
4706-10,33067,VIA SUDESTE TRANSPORTES S.A.,5
1742-10,542,SAMBAIBA,0
4036-10,35329,VIACAO METROPOLE,0
2009-10,898,TRANSUNIAO,0
2678-10,33151,VIACAO METROPOLE,0
9011-21,1768,Norte Buss S.A.,0
1759-10,553,SAMBAIBA,0
297A-10,2133,SAMBAIBA,0
8194-10,805,Norte Buss S.A.,0
6450-10,32827,CAMPO BELO,0
3785-10,1063,PESSEGO TRANSPORTES LTDA,4
6836-10,32781,VIACAO CAMPO BELO LTDA.,7
2719-10,33700,ALLIBUS TRANSPORTES LTDA,4
271M-10,33452,SAMBAIBA,0
1702-10,846,SPENCER TRANSPORTE RODOVIARIO LTDA,2
573H-10,34398,MOVEBUSS,0
575A-10,1638,TRANSUNIAO,0
172R-10,859,Norte Buss S.A.,0
273D-10,32990,VIACAO METROPOLE,0
2731-10,946,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
1720-10,33631,NORTE BUSS TRANSPORTES S.A.,2
978A-10,34137,GATO PRETO,0
745M-10,33550,AUTO VIACAO TRANSCAP LTDA,8
3031-10,33735,PESSEGO TRANSPORTES LTDA,4
6050-10,1225,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
2006-10,33663,TRANSUNIAO,0
746V-10,33560,AUTO VIACAO TRANSCAP LTDA,8
719R-10,33237,TRANSPPASS TRANSPORTE DE PASSAGEIROS LTDA.,8
8594-10,33200,VIACAO SANTA BRIGIDA LTDA.,1
1026-10,35074,SPENCER TRANSPORTE RODOVIARIO LTDA,1
5154-10,33121,GATUSA,0
5614-10,1515,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
2161-10,33462,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
4312-10,34940,VIACAO METROPOLE,0
5702-10,33905,A2 Transportes,0
6803-10,32797,VIACAO CAMPO BELO LTDA.,7
2721-10,33702,ALLIBUS TRANSPORTES LTDA,4
875A-10,33377,MOBIBRASIL,0
1178-10,132,VIACAO METROPOLE PAULISTA S.A.,3
967A-10,568,SAMBAIBA,0
6072-10,1588,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
607A-10,2139,A2 Transportes,0
6824-10,32791,VIACAO CAMPO BELO LTDA.,7
6817-10,32795,VIACAO CAMPO BELO LTDA.,7
9050-10,34856,GATO PRETO,0
3721-41,1693,Pessego,0
2772-10,398,VIACAO METROPOLE PAULISTA S.A.,3
971A-10,33426,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
2728-10,943,Allibus,0
342M-10,33515,AMBIENTAL S.A.,0
263J-10,32987,VIACAO METROPOLE,0
2009-10,33666,TRANSUNIAO,0
6076-10,33933,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
8199-10,33575,Norte Buss S.A.,0
3064-10,33748,TRANSUNIAO,0
637A-10,32953,VIACAO METROPOLE,0
2076-10,33136,VIACAO METROPOLE PAULISTA S.A.,3
342C-10,33770,PESSEGO TRANSPORTES LTDA,4
546L-10,1285,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
5129-10,1281,MOBIBRASIL,0
6232-10,483,TRANSPPASS TRANSPORTE DE PASSAGEIROS LTDA.,8
2123-10,692,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
148P-10,33302,SAMBAIBA,0
6358-10,34062,MOBIBRASIL,0
178T-10,565,SAMBAIBA,0
7060-10,34657,VIACAO CAMPO BELO LTDA.,7
6913-10,1465,VIACAO GRAJAU,0
6007-10,176,VIACAO METROPOLE PAULISTA S.A.,7
2020-10,2262,SAMBAIBA,0
675R-10,32877,VIACAO GRAJAU S.A.,6
177H-10,630,SAMBAIBA,0
5318-10,32813,VIACAO CAMPO BELO LTDA.,7
8605-10,34685,KBPX ADMINISTRACAO E PARTICIPACAO LTDA,7
6048-10,56,CAMPO BELO,0
4002-10,34945,VIACAO METROPOLE PAULISTA S.A.,3
809A-10,34837,TRANSPPASS,0
5290-10,597,MOBIBRASIL,0
475R-10,33112,VIA SUDESTE,0
9191-10,810,Norte Buss S.A.,0
6118-10,33956,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
695X-22,1621,VIACAO GRAJAU,0
6812-10,1242,Transwolff,0
709M-10,2462,GATUSA,0
807A-10,34668,CAMPO BELO,0
513C-31,2536,TRANSUNIAO,0
4709-10,333,VIA SUDESTE,0
2017-10,33671,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
7181-10,34100,VIACAO GATO PRETO LTDA.,8
9789-10,33597,NORTE BUSS TRANSPORTES S.A.,1
3746-10,283,VIA SUDESTE,0
574R-10,34391,TRANSUNIAO TRANSPORTES S/A,5
5362-23,34628,VIACAO GRAJAU,0
4314-10,34942,VIACAO METROPOLE,0
7012-10,2043,Transwolff,0
517J-10,33897,A2 Transportes,0
2551-10,141,VIACAO METROPOLE,0
917M-10,1366,GATO PRETO,0
373T-10,1091,MOVEBUSS,0
407K-10,34936,VIACAO METROPOLE PAULISTA S.A.,3
1709-10,33619,NORTE BUSS TRANSPORTES S.A.,2
271C-10,33450,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
8000-10,1273,SANTA BRIGIDA,0
4055-10,2447,TRANSUNIAO,0
6036-10,33982,Transwolff,0
957T-10,33232,SANTA BRIGIDA,0
1702-10,33614,Spencer,0
6038-10,1216,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
7004-10,1992,VIACAO METROPOLE,0
819A-10,33571,NORTE BUSS TRANSPORTES S.A.,1
5175-10,33361,MOBIBRASIL,0
2290-10,718,AMBIENTAL S.A.,0
4018-10,34959,EXPRESS,0
3023-10,960,Allibus,0
271M-10,684,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
5110-10,2209,VIA SUDESTE,0
6403-10,32826,VIACAO CAMPO BELO LTDA.,7
573A-10,34405,TRANSUNIAO TRANSPORTES S/A,5
7040-10,33544,ALFA RODOBUS,0
6500-10,46,CAMPO BELO,0
576M-10,604,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
